,0
2014-11-30,0.0
2014-12-31,-0.005174022235883702
2015-01-31,0.030901421814023555
2015-02-28,-0.04136274774901472
2015-03-31,0.010132078360637786
2015-04-30,-0.019042019541653077
2015-05-31,0.0011706581483308387
2015-06-30,-0.00422943575374457
2015-07-31,0.013835271098859625
2015-08-31,-0.10394922204089796
2015-09-30,0.007784574810486999
2015-10-31,0.07946263988326496
2015-11-30,0.04761340662461011
2015-12-31,0.03343175252786956
2016-01-31,-0.05159398494353229
2016-02-29,0.03926712269651644
2016-03-31,-0.013906000095462279
2016-04-30,0.03637203047259652
2016-05-31,0.028150584261813716
2016-06-30,0.11484160045071912
2016-07-31,-0.0037575230001872795
2016-08-31,-0.04009285922192962
2016-09-30,0.015212272249117698
2016-10-31,0.03643746015255078
2016-11-30,0.025750229584562634
2016-12-31,0.06606036482414868
2017-01-31,-0.001938087436382685
2017-02-28,0.09325398106017868
2017-03-31,-0.03652141688303512
2017-04-30,0.062004668843819166
2017-05-31,0.16204823692872217
2017-06-30,0.010081887497213504
2017-07-31,0.060589581219765654
2017-08-31,0.12850397485328768
2017-09-30,-0.0351897389540381
2017-10-31,0.09740893051445454
2017-11-30,0.10788624241400191
2017-12-31,-0.0585951611548835
2018-01-31,-0.028843674466825897
2018-02-28,-0.010135507584270731
2018-03-31,-0.0014091177766020202
2018-04-30,-0.0035591569217702235
2018-05-31,0.004584223547483113
2018-06-30,0.004376446055815109
2018-07-31,0.01340271698455675
2018-08-31,0.020734944771521047
2018-09-30,-0.01636778417723772
2018-10-31,-0.042680095531689055
2018-11-30,0.000982608441464139
2018-12-31,0.016569090836649814
2019-01-31,0.017290517762053703
2019-02-28,-0.004239972920034196
2019-03-31,0.013832339714627162
2019-04-30,0.0007588871278556564
2019-05-31,0.04326140820669999
2019-06-30,0.11626202342624548
2019-07-31,-0.049701103961483306
2019-08-31,0.02286750239190516
2019-09-30,-0.03659893437623374
2019-10-31,0.007983972762667157
2019-11-30,-0.018136698378778182
2019-12-31,-0.009781986066144222
2020-01-31,0.04951161721946029
2020-02-29,-0.033027198527453616
2020-03-31,0.017620051741100484
2020-04-30,0.037514188741434085
2020-05-31,0.008790210184640879
2020-06-30,0.0010014826078539318
2020-07-31,0.09856293127916693
2020-08-31,0.012042124437256163
2020-09-30,-0.04100869650897809
2020-10-31,0.05051148624273005
2020-11-30,0.17527508810823877
2020-12-31,0.04259026039811853
2021-01-31,0.06736310501988285
2021-02-28,0.05168416783438201
2021-03-31,0.05281513548357619
2021-04-30,0.008135850115064569
2021-05-31,-0.054210958001369214
2021-06-30,-0.0403381757954584
2021-07-31,0.015239577853439323
2021-08-31,0.002931604882260519
2021-09-30,-0.03602527348503537
2021-10-31,0.11242473451984081
2021-11-30,-0.04941530110299408
2021-12-31,-0.07139456865584026
2022-01-31,-0.019317153521962838
2022-02-28,0.0031001241408432634
2022-03-31,0.00641279950431195
2022-04-30,-0.010642946407399823
2022-05-31,-0.014229524418330586
2022-06-30,0.0
2022-07-31,0.0
2022-08-31,0.0
2022-09-30,0.0
2022-10-31,0.0
2022-11-30,0.0
2022-12-31,0.002328440488608585
2023-01-31,0.031337851732288646
2023-02-28,-0.03772951286423487
2023-03-31,0.08287688807750992
2023-04-30,0.013233510195330256
2023-05-31,-0.021435888779851475
2023-06-30,0.03497187108432542
2023-07-31,-0.018112634503842817
2023-08-31,-0.04641654755175795
2023-09-30,-0.0061398926427499445
2023-10-31,0.006356425714103553
2023-11-30,0.04342429247834789
2023-12-31,0.015570901145423921
2024-01-31,0.007264514572251413
2024-02-29,0.10130598134687752
2024-03-31,0.06947638118310939
2024-04-30,-0.0431760183227452
2024-05-31,0.03725985030486689
2024-06-30,-0.02658711100075184
2024-07-31,0.027891994624229977
2024-08-31,0.007854379346275753
2024-09-30,0.02110625033692415
2024-10-31,0.019804694581901483
2024-11-30,0.09791940250927933
2024-12-31,-0.09838285534920521
2025-01-31,0.0533210871201093
2025-02-28,-0.046782962907305214
2025-03-31,0.04801181050730485
2025-04-30,0.03370323184004298
2025-05-31,0.03319010209525719
2025-06-30,0.008334818746572159
2025-07-31,0.015212937971961882
2025-08-31,0.0013328692220284655
2025-09-30,0.04149761038062261
2025-10-31,0.007912304734746245
2025-11-30,0.03209498694683233
2025-12-31,-0.06525520745964541
2026-01-31,0.05189740942687271
2026-02-28,0.07554338076626332
2026-03-31,-0.08743148493356911
2026-04-30,0.0005506807588813167
2026-05-31,-0.010694163304891369
2026-06-30,0.011432142160790582
2026-07-31,-0.0016551874076060624
2026-08-31,-0.0008617497431701038
