w_apex,w_convex,btc_cap,vol_target,cagr_ongoing,cagr_spend,tax_drag,vol,sh0,sh3,sortino,calmar,ulcer_index,n_underwater_months,pct_underwater_months,cvar_95_ann,cvar_99_ann,starr_95,mdd_hist,boot21_mdd5,boot21_cagr5,boot63_mdd5,boot63_cagr5,wfe_calmar,wfe_sharpe,oos_calmar,oos_starr,mean_btc_w,max_btc_w,stress_2018,stress_2020,stress_2022,stress_2025,obj_raw,feas_15,feas_20,feas_25
0.35,0.65,0.08,0.13,0.12676068909824756,0.11444513063788997,0.01231555846035759,0.10999111089943568,1.1431815621050267,0.8704322485068023,1.546640821192816,0.5298775712591263,4.332756244127665,82,57.74647887323944,0.2383517843563917,0.41580904382088135,0.5275387818716276,-0.21598410056485068,-0.312848212719056,0.0713182442509178,-0.2786733377724601,0.07561504963240832,1.6122047154398056,1.2543759784841515,1.095106935517792,0.6186679226139078,0.06491103314150855,0.08000063813209243,"(np.float64(-6.3235283182134445), np.float64(-10.045280329116068))","(np.float64(17.074586965951166), np.float64(-21.59841005648506))","(np.float64(-3.5897236293330193), np.float64(-7.755267599302284))","(np.float64(5.713154309093582), np.float64(-12.187369647583735))",0.09503009013514915,False,False,False
0.5,0.5,0.08,0.13,0.11304644875781134,0.10510065109484557,0.00794579766296577,0.0988590681209724,1.1358371494983037,0.8323748514015223,1.5725253451044414,0.5779051112013981,4.132249292042727,82,57.74647887323944,0.2163172672904012,0.36687912023551555,0.5190884830588061,-0.1818648927959011,-0.27446497665986364,0.06434770412345461,-0.2410592521249366,0.06849845804556293,1.7554393806160666,1.3523536619875303,1.139088409549465,0.6194031992494298,0.059487783022329876,0.08000083096735924,"(np.float64(-5.747841052035485), np.float64(-9.020293360384379))","(np.float64(17.36042158331541), np.float64(-18.186489279590113))","(np.float64(-2.148726380698507), np.float64(-6.481123271179778))","(np.float64(5.505703688607033), np.float64(-10.524208570432336))",0.08679955457020425,False,False,True
0.65,0.35,0.08,0.13,0.09909665083803931,0.0948161284279434,0.0042805224100959105,0.0903332831272867,1.0940482268817397,0.7619447212735627,1.53147843986792,0.6454057095263953,4.053999179931354,85,59.859154929577464,0.2012331229445122,0.33182786554052446,0.4911168041737746,-0.1469093424932983,-0.24404968941285185,0.055565526301793365,-0.21260127638408868,0.059731027422665596,1.9491785718819692,1.48868027532251,1.1970114684382,0.5998614278578581,0.05406364761784382,0.08000102555931898,"(np.float64(-5.211614257561125), np.float64(-7.987678352141048))","(np.float64(17.491024403330655), np.float64(-14.690934249329835))","(np.float64(-0.7335270149276818), np.float64(-5.224401726281247))","(np.float64(5.260608685916335), np.float64(-9.076385125271436))",0.0772735779253045,False,False,True
0.5,0.5,0.0,0.13,0.07542615045674483,0.06720280772208365,0.008223342734661188,0.0996252246546691,0.7816965462102987,0.4805679906292411,1.0951847292178674,0.3691363829793333,4.211047287230651,90,63.38028169014085,0.2202279549251849,0.36786109466005495,0.3536185678828286,-0.18205414264420014,-0.2787263217188817,0.0344992403392527,-0.24169643589096093,0.040468483690678514,3.7853632589590362,2.562303244586177,0.9915240827552785,0.45922803856768285,0.0,0.0,"(np.float64(-0.9915040656800822), np.float64(-7.349760549781015))","(np.float64(5.185034774929398), np.float64(-18.205414264420018))","(np.float64(0.31103478141534247), np.float64(-4.88440850697388))","(np.float64(8.363883088545055), np.float64(-9.956299830508197))",0.05383564570638108,False,False,True
0.5,0.5,0.04,0.13,0.0944763574208507,0.09421921468970051,0.00025714273115018393,0.09139375964955053,1.036206865074549,0.7079568826391313,1.4081898742304444,0.528771246429207,3.385711291963517,79,55.633802816901415,0.20194972777960446,0.3488930965656769,0.46894265328130424,-0.17818520830314244,-0.26101833686744347,0.05214618252166663,-0.22648011225948902,0.057701482005873765,2.1368597280748416,1.5680364868543393,1.1012416672420313,0.5860485808256735,0.03879092803692818,0.04000000318969938,"(np.float64(-4.624543371206135), np.float64(-8.467107479065882))","(np.float64(12.828676202671673), np.float64(-17.818520830314245))","(np.float64(-1.8903955322579935), np.float64(-6.234230104877591))","(np.float64(5.534419954449965), np.float64(-10.066125598009002))",0.07596034834778714,False,False,True
0.5,0.5,0.08,0.13,0.11304644875781134,0.10510065109484557,0.00794579766296577,0.0988590681209724,1.1358371494983037,0.8323748514015223,1.5725253451044414,0.5779051112013981,4.132249292042727,82,57.74647887323944,0.2163172672904012,0.36687912023551555,0.5190884830588061,-0.1818648927959011,-0.27446497665986364,0.06434770412345461,-0.2410592521249366,0.06849845804556293,1.7554393806160666,1.3523536619875303,1.139088409549465,0.6194031992494298,0.059487783022329876,0.08000083096735924,"(np.float64(-5.747841052035485), np.float64(-9.020293360384379))","(np.float64(17.36042158331541), np.float64(-18.186489279590113))","(np.float64(-2.148726380698507), np.float64(-6.481123271179778))","(np.float64(5.505703688607033), np.float64(-10.524208570432336))",0.08679955457020425,False,False,True
0.5,0.5,0.1,0.13,0.12207896974115529,0.11139014580073936,0.010688823940415926,0.10353010437122163,1.1674673553638475,0.8776965666458042,1.6160211763841867,0.6063460109212018,4.637748178551235,84,59.154929577464785,0.22729723300670315,0.3802333089780288,0.5317619381133621,-0.1837072295264348,-0.28410422528700074,0.06979385107637258,-0.2522646158091224,0.07345168857709575,1.6610443123250054,1.2825486704951103,1.1753463025273705,0.6228849956254979,0.06904148013579581,0.1000017017562847,"(np.float64(-5.906291573144129), np.float64(-9.12207737598283))","(np.float64(19.425873470308396), np.float64(-18.370722952643483))","(np.float64(-2.0410469629636663), np.float64(-6.378211394605049))","(np.float64(5.489550273850008), np.float64(-10.759415252699533))",0.09242091718891755,False,False,False
0.5,0.5,0.08,0.1,0.10994077249297929,0.10308222458349436,0.006858547909484924,0.09599786213448096,1.1375990073125006,0.825092047963122,1.5691321870191641,0.5752269212505672,4.007891091780933,81,57.04225352112676,0.2101876430816751,0.35614808520556335,0.5195694241002073,-0.17920271248673364,-0.27146277483061176,0.061936535038183096,-0.23882724298695873,0.06616259345253007,1.6877444002220419,1.3082507785561293,1.1259115568215035,0.6168437974969097,0.059222933468331955,0.08000082993635152,"(np.float64(-5.447117991174977), np.float64(-8.477754175148533))","(np.float64(17.177628464189066), np.float64(-17.92027124867337))","(np.float64(-2.3015251491733224), np.float64(-6.249862777729708))","(np.float64(4.994278260919716), np.float64(-10.549097755673253))",0.08462240901801221,False,False,True
0.5,0.5,0.08,0.13,0.11304644875781134,0.10510065109484557,0.00794579766296577,0.0988590681209724,1.1358371494983037,0.8323748514015223,1.5725253451044414,0.5779051112013981,4.132249292042727,82,57.74647887323944,0.2163172672904012,0.36687912023551555,0.5190884830588061,-0.1818648927959011,-0.27446497665986364,0.06434770412345461,-0.2410592521249366,0.06849845804556293,1.7554393806160666,1.3523536619875303,1.139088409549465,0.6194031992494298,0.059487783022329876,0.08000083096735924,"(np.float64(-5.747841052035485), np.float64(-9.020293360384379))","(np.float64(17.36042158331541), np.float64(-18.186489279590113))","(np.float64(-2.148726380698507), np.float64(-6.481123271179778))","(np.float64(5.505703688607033), np.float64(-10.524208570432336))",0.08679955457020425,False,False,True
0.5,0.5,0.08,0.16,0.11473083266398865,0.1062270735340487,0.008503759129939947,0.10086409490176065,1.1302786962935942,0.8328487730992019,1.5688240960725433,0.5757508059855644,4.189053042608191,82,57.74647887323944,0.22057648802333038,0.37419314233684453,0.5168480952373788,-0.184501823409887,-0.27779105398119913,0.0649976927837289,-0.2428007350191635,0.06995658436885713,1.8031440730533481,1.3730195595383168,1.1446095799416462,0.6165008906176493,0.059509665082878534,0.08000083199854673,"(np.float64(-5.8516046931384125), np.float64(-9.293425528444244))","(np.float64(17.398577926501503), np.float64(-18.450182340988697))","(np.float64(-2.010388144376496), np.float64(-6.704954544454234))","(np.float64(5.974008998924707), np.float64(-10.499118695408349))",0.08809182895145291,False,False,True
