,0
1987-12-31,0.0188857429390335
1988-01-31,0.0276342856313258
1988-02-29,0.0277530420505157
1988-03-31,0.0008634766906112
1988-04-30,0.0083114048875619
1988-05-31,-0.0264960633428258
1988-06-30,0.0623549364325708
1988-07-31,-0.0088847971648852
1988-08-31,-0.0277798566913047
1988-09-30,0.0517827950344792
1988-10-31,0.0161071557971612
1988-11-30,-0.0424843949511702
1988-12-31,0.0505670861627604
1989-01-31,0.0531279826512824
1989-02-28,-0.0270447599026893
1989-03-31,0.0314300704609296
1989-04-30,0.0497379699779723
1989-05-31,0.0427552182508353
1989-06-30,0.0220889811523298
1989-07-31,0.0546001949259238
1989-08-31,0.0145384232665031
1989-09-30,-0.0270933853786824
1989-10-31,-0.0227327997090816
1989-11-30,0.0271734112823814
1989-12-31,0.0188391342407754
1990-01-31,-0.0854984174613442
1990-02-28,0.0041414867558789
1990-03-31,0.0403308409524543
1990-04-30,-0.040889965571948
1990-05-31,0.0774070169528934
1990-06-30,0.0253799649381366
1990-07-31,-0.0171254044117692
1990-08-31,-0.0843574421544901
1990-09-30,-0.0293491139068067
1990-10-31,-0.003780927753462
1990-11-30,0.0624311680422123
1990-12-31,0.0178468263046775
1991-01-31,0.0304208796014659
1991-02-28,0.0812227528646144
1991-03-31,0.0275548180245873
1991-04-30,0.0074756144203093
1991-05-31,0.0299814909407136
1991-06-30,-0.0397292768562529
1991-07-31,0.0248520465276285
1991-08-31,0.0556250990862633
1991-09-30,0.0003631470336392
1991-10-31,-0.0041127913436107
1991-11-30,-0.0096661714876396
1991-12-31,0.0914641907281709
1992-01-31,0.010533168404634
1992-02-29,0.0163852011724067
1992-03-31,-0.025426744196468
1992-04-30,0.0025165572576353
1992-05-31,0.030292232216632
1992-06-30,-0.0213738758401152
1992-07-31,0.0616218690033149
1992-08-31,-0.0151750098154323
1992-09-30,0.012403334374505
1992-10-31,0.0050882568532345
1992-11-30,0.0311280295696308
1992-12-31,0.0059714804154676
1993-01-31,0.0520556219925709
1993-02-28,0.01807840621263
1993-03-31,0.0061162534023198
1993-04-30,-0.0094557299818571
1993-05-31,0.0241786751085716
1993-06-30,0.0127099882063391
1993-07-31,0.0166769197240871
1993-08-31,0.0432968193994284
1993-09-30,0.0047495592734036
1993-10-31,0.0288594702630245
1993-11-30,-0.0212596874190804
1993-12-31,0.0134542103695325
1994-01-31,0.0383363622583219
1994-02-28,-0.043067298132696
1994-03-31,-0.0262443297941524
1994-04-30,-0.0204378843270298
1994-05-31,0.0095717573963395
1994-06-30,-0.0286080407139451
1994-07-31,0.0350177773823881
1994-08-31,0.0290235365375695
1994-09-30,-0.0197363705522032
1994-10-31,0.0167746019141093
1994-11-30,-0.033788529752767
1994-12-31,0.0099002226225801
1995-01-31,0.024433897873607
1995-02-28,0.0335310548516641
1995-03-31,0.021043377444288
1995-04-30,0.0335274779779697
1995-05-31,0.050669404426904
1995-06-30,0.0455371638776402
1995-07-31,0.0193467146194204
1995-08-31,0.0153933140893253
1995-09-30,0.0448904674623834
1995-10-31,-0.0012246217039744
1995-11-30,0.0377722307752964
1995-12-31,0.0471264126263159
1996-01-31,0.0035480689797808
1996-02-29,0.0282872794821365
1996-03-31,-0.0160388511801148
1996-04-30,0.0108115650097556
1996-05-31,0.0172923033400586
