,return
2000-09-30,-0.03137026474873583
2000-10-31,-0.006526508780465046
2000-11-30,-0.03681889940633981
2000-12-31,-0.003227373645433233
2001-01-31,0.011998523975983133
2001-02-28,-0.0446920789965514
2001-03-31,-0.030591850462213424
2001-04-30,0.049366305751384655
2001-05-31,-0.0027440041774747137
2001-06-30,-0.015594131742567094
2001-07-31,-0.004101123347674556
2001-08-31,-0.03081760513582526
2001-09-30,-0.04002654187453697
2001-10-31,0.017785159181469043
2001-11-30,0.01360433290605254
2001-12-31,0.016591805564044694
2002-01-31,-0.027262903949376117
2002-02-28,0.013406830789054178
2002-03-31,0.010599023671739724
2002-04-30,-0.010945450987065456
2002-05-31,0.0021031661501019795
2002-06-30,-0.034585411106628834
2002-07-31,-0.06685949548928212
2002-08-31,0.029599653691107546
2002-09-30,-0.04731134471760326
2002-10-31,0.04512221740740918
2002-11-30,0.014704253594960281
2002-12-31,0.005929093985267138
2003-01-31,-0.024382452961262624
2003-02-28,-0.0060003356237605015
2003-03-31,0.00407142322784118
2003-04-30,0.03816732686681352
2003-05-31,0.04352036937858316
2003-06-30,0.006682320166117092
2003-07-31,-0.018433061808134418
2003-08-31,0.02466832865176187
2003-09-30,0.03218506246674011
2003-10-31,0.012789285073957758
2003-11-30,0.012314820053789576
2003-12-31,0.03781080654536973
2004-01-31,0.02003287296018101
2004-02-29,0.006984829017775615
2004-03-31,0.03892396321217959
2004-04-30,-0.025343229730722238
2004-05-31,-0.017809710384832075
2004-06-30,0.009785430110942815
2004-07-31,0.007659747495817487
2004-08-31,0.011257657045456485
2004-09-30,-0.008641500556494567
2004-10-31,-0.02528353012422018
2004-11-30,-0.007565391222294832
2004-12-31,-0.002624679400195932
2005-01-31,0.044576522541776804
2005-02-28,-0.010578630603880358
2005-03-31,-0.0018975081969098005
2005-04-30,0.0004819503528827353
2005-05-31,0.05877965746465308
2005-06-30,0.024019683018099584
2005-07-31,-0.00015091107089209563
2005-08-31,-0.017849282175143224
2005-09-30,0.046882242934743884
2005-10-31,0.0032312086160443962
2005-11-30,0.03735224089372294
2005-12-31,-0.0025732080373046307
2006-01-31,0.017680459405040688
2006-02-28,-0.0006212878047808224
2006-03-31,0.009027876871607131
2006-04-30,-0.01910394971047843
2006-05-31,-0.048856659017432885
2006-06-30,-0.010208724316289223
2006-07-31,0.011967618275045078
2006-08-31,0.0015777528738816612
2006-09-30,0.009706222264781595
2006-10-31,0.028360058040411477
2006-11-30,-0.030312585284589584
2006-12-31,0.015599025353781657
2007-01-31,0.04171688114168198
2007-02-28,-0.05062555401309456
2007-03-31,0.014949411757145873
2007-04-30,0.015410854263916111
2007-05-31,0.018658747017760175
2007-06-30,-0.03582026317702534
2007-07-31,-0.05122482955457771
2007-08-31,0.026270612691010546
2007-09-30,0.004974602395786001
2007-10-31,0.003977626633844837
2007-11-30,-0.025482996115569152
2007-12-31,0.007400138748578171
2008-01-31,0.002638929623073464
2008-02-29,-0.022413646431386235
2008-03-31,-0.034126458912706485
2008-04-30,0.011110292053945125
2008-05-31,0.001772444847689891
2008-06-30,-0.03460954420957529
2008-07-31,-0.005527605260095109
2008-08-31,0.007859964715651667
2008-09-30,0.029599727397220384
2008-10-31,-0.037030972542963676
2008-11-30,0.056573402202018674
2008-12-31,-0.01788232879254686
2009-01-31,0.041156493428349664
2009-02-28,-0.018405161527125832
2009-03-31,-0.036387694210552046
2009-04-30,0.03529325890108424
2009-05-31,-0.006426793959594087
2009-06-30,-0.007772146843455568
2009-07-31,0.02453385341618288
2009-08-31,0.02498989162188084
2009-09-30,-9.42460501500777e-05
2009-10-31,0.013060746150773302
2009-11-30,0.051179560875674365
2009-12-31,0.026685232066394192
2010-01-31,-0.0016465231460361309
2010-02-28,0.045611742958256686
2010-03-31,0.06975251368191968
2010-04-30,0.016837743844899736
2010-05-31,0.0397913600064141
2010-06-30,-0.07999769815038403
2010-07-31,-0.003000393319509033
2010-08-31,0.056060710496520054
2010-09-30,-0.03806009159557316
2010-10-31,0.005352117559848354
2010-11-30,0.07606501141310974
2010-12-31,0.007340246654013344
2011-01-31,-0.03885580226197156
2011-02-28,-0.006890569497703718
2011-03-31,-0.019672256512376144
2011-04-30,0.004541616964341631
2011-05-31,-0.013424310702883207
2011-06-30,-0.0020742988781876936
2011-07-31,0.012360053208369196
2011-08-31,-0.04030033995891828
2011-09-30,-0.0038932227272372795
2011-10-31,0.035465609892587416
2011-11-30,0.030052505432350538
2011-12-31,0.017710011093032146
2012-01-31,0.06240484217649668
2012-02-29,0.004453256884988996
2012-03-31,-0.02829775707731841
2012-04-30,0.029969938485761023
2012-05-31,0.027353364920108512
2012-06-30,0.008332988177469183
2012-07-31,0.05307638082423363
2012-08-31,0.003071117365430529
2012-09-30,-0.002955345591109162
2012-10-31,-0.020153574177024305
2012-11-30,-0.0028455809718090324
2012-12-31,0.003635806158689686
2013-01-31,-0.025984019752156404
2013-02-28,0.03289596593071093
2013-03-31,0.03174291074112229
2013-04-30,0.011076161914775047
2013-05-31,-0.005494127509938188
2013-06-30,-0.008629656304697976
2013-07-31,0.03132490029485448
2013-08-31,-0.030933396434960046
2013-09-30,0.02369542350035305
2013-10-31,0.028416778452637837
2013-11-30,0.014636381241830173
2013-12-31,0.007065072941152704
2014-01-31,-0.021245821872917816
2014-02-28,0.013153282109989345
2014-03-31,0.005864749371779253
2014-04-30,-0.006503128243343966
2014-05-31,0.03099855435087255
2014-06-30,0.0232747974644391
2014-07-31,-0.019865753766338257
2014-08-31,0.057042629712876325
2014-09-30,0.031367686984571735
2014-10-31,0.021666631100883817
2014-11-30,0.03718727547210539
2014-12-31,0.02888184268252443
2015-01-31,0.0907259559990743
2015-02-28,0.04007489624347801
2015-03-31,0.016061053724378115
2015-04-30,-0.029280778288460617
2015-05-31,0.02107534874977908
2015-06-30,-0.028947716389885494
2015-07-31,0.020782574622298145
2015-08-31,-0.0900328968990053
2015-09-30,0.0091110398456654
2015-10-31,0.08738945147911421
2015-11-30,0.018690891257138124
2015-12-31,-0.009859110405433207
2016-01-31,-0.037553899605609724
2016-02-29,0.00980134263354933
2016-03-31,-0.02776445149232865
2016-04-30,0.007965935821641556
2016-05-31,0.035451016916567005
2016-06-30,0.06553511923044276
2016-07-31,0.017024913993033856
2016-08-31,-0.0017803690084578795
2016-09-30,-0.015835539771892098
2016-10-31,-0.005671563409284733
2016-11-30,0.013323949127378347
2016-12-31,0.039965678029167374
2017-01-31,0.007166781120327347
2017-02-28,0.05811583146549059
2017-03-31,-0.013199882188435173
2017-04-30,0.0076298726308974595
2017-05-31,0.05856115125972408
2017-06-30,-0.026655473169559116
2017-07-31,0.02103354677618152
2017-08-31,0.02711100368190115
2017-09-30,0.015917113477627767
2017-10-31,0.08760273734750217
2017-11-30,0.036636112971149236
2017-12-31,0.024296312482910407
2018-01-31,-0.04248688466357842
2018-02-28,0.024997029556919535
2018-03-31,-0.038452251093168965
2018-04-30,0.05007667576641216
2018-05-31,0.011070390789323545
2018-06-30,-0.025295187456169016
2018-07-31,0.04332130412873908
2018-08-31,0.007601375137373152
2018-09-30,-0.004278562695165308
2018-10-31,-0.02900455137587477
2018-11-30,-0.02482011612686083
2018-12-31,-0.05816850443787981
2019-01-31,0.0071090304421697345
2019-02-28,0.033176430989798
2019-03-31,0.04500134753041913
2019-04-30,0.05671544987821809
2019-05-31,0.028011764777167065
2019-06-30,0.04638097010882945
2019-07-31,0.031789629684352984
2019-08-31,0.033617043142503376
2019-09-30,-0.00919370501916386
2019-10-31,0.006916564908085835
2019-11-30,0.004906880049367302
2019-12-31,0.010568871926365719
2020-01-31,0.028096592067325413
2020-02-29,-0.03820539132362455
2020-03-31,-0.08249099795216978
2020-04-30,0.07010630711940616
2020-05-31,0.03736471879179625
2020-06-30,0.0005753816065037062
2020-07-31,0.006520037146193176
2020-08-31,0.0006058448313458885
2020-09-30,0.0032885328806190723
2020-10-31,0.014641576931092727
2020-11-30,0.07225453307735868
2020-12-31,0.08031646775154246
2021-01-31,-0.006072077433381021
2021-02-28,0.052738260385531976
2021-03-31,0.08517542793000342
2021-04-30,-0.008076298000700192
2021-05-31,-0.019567772312605744
2021-06-30,0.029713155796265718
2021-07-31,0.013309752181483015
2021-08-31,0.03480957598049437
2021-09-30,-0.008903212678656139
2021-10-31,0.060359275543246424
2021-11-30,-0.01792902643121945
2021-12-31,0.018359316529142963
2022-01-31,-0.04417250913923024
2022-02-28,0.03735430179704296
2022-03-31,0.03800312859716982
2022-04-30,0.013268915680225936
2022-05-31,-0.03781286245025565
2022-06-30,-0.03697449919720162
2022-07-31,0.06696479236225639
2022-08-31,-0.00743519718200462
2022-09-30,-0.028146231019868302
2022-10-31,0.01569346889079636
2022-11-30,-0.04755277968756781
2022-12-31,-0.048067648401746293
2023-01-31,0.0644654333004048
2023-02-28,0.004510465928841482
2023-03-31,-0.008381543952184942
2023-04-30,-0.012985123873393395
2023-05-31,0.04099469795925236
2023-06-30,0.012530310287154569
2023-07-31,-0.013968614081775082
2023-08-31,0.017112395090408558
2023-09-30,0.01020510804566605
2023-10-31,0.010763006818708334
2023-11-30,0.022727562169279396
2023-12-31,0.011348070522336344
2024-01-31,0.042579113654996094
2024-02-29,0.06491363707161162
2024-03-31,0.04877468781177619
2024-04-30,-0.010393422310344519
2024-05-31,0.014665531681652374
2024-06-30,0.02439570065604283
2024-07-31,-0.047155839300841655
2024-08-31,0.020766766280176593
2024-09-30,0.033102748474429025
2024-10-31,0.0012313065145125818
2024-11-30,0.09169775023534245
2024-12-31,0.014780628969000845
2025-01-31,0.012469594663805223
2025-02-28,-0.007450977100353989
2025-03-31,-0.14329076686776623
2025-04-30,0.04984297814376512
2025-05-31,0.02670463916993184
2025-06-30,-0.0030818686130969415
2025-07-31,0.01600382728769535
2025-08-31,0.014322796141773444
2025-09-30,0.06108692745929219
2025-10-31,0.022965156756555753
2025-11-30,-0.004136715044598424
2025-12-31,8.128724419351766e-05
2026-01-31,0.006984788751235861
2026-02-28,0.03388871888058105
2026-03-31,-0.01813863185277377
2026-04-30,0.03331944806070904
2026-05-31,0.026479961789313528
2026-06-30,-0.0073261149283444064
2026-07-31,-0.010335139325001108
2026-08-31,0.04696718746805424
