vol_target,cagr_full,geom_mean,mdd_full,calmar_full,oos_cagr_mean,oos_mdd_mean,oos_calmar_mean
13,0.11304166200418209,0.11335113093475013,-0.19309611383976644,0.5854165563268946,0.11679605386128072,-0.11233881777737303,1.1697783301809679
14,0.11939290534525471,0.11972067834619171,-0.20297317425014172,0.5882201221237064,0.12365648906537019,-0.11870607970979535,1.166158587144551
15,0.12545178422856895,0.125797106157004,-0.2128265916107428,0.5894554025373798,0.13031323419479124,-0.12494544447092573,1.1625224206670637
16,0.13158180826276178,0.13194497159893515,-0.22265636592157034,0.590963603120653,0.13721025336073572,-0.131062885226052,1.1617734143710625
17,0.13765838233431804,0.13803931683841686,-0.23206261219115332,0.593195004721083,0.14419634517843904,-0.13704606953063495,1.1635122651403957
18,0.14457473210988092,0.1449759965340589,-0.2408255037951499,0.6003298231771107,0.15191151806599862,-0.14238218098070912,1.1765712889683324
19,0.15020488173767088,0.150622775792417,-0.2495883953991468,0.6018103586004477,0.15804717707542826,-0.14723308253160758,1.1807190374825314
20,0.15538549888809117,0.15581875819421942,-0.25835128700314314,0.6014504541105721,0.16409733768142626,-0.1520682671085674,1.1827654407315695
21,0.16017977101317382,0.16062730359231314,-0.2642755051058271,0.6061090336353007,0.16939468612864622,-0.15684634342129336,1.1810112539642428
22,0.1649381880037295,0.1653999381135014,-0.2674370028214834,0.6167366006334853,0.17447249114117125,-0.16156729587081178,1.178340930815457
23,0.17094391475231707,0.17142368140682573,-0.27624295839755664,0.6188172749956657,0.18182151882034425,-0.16618806687927817,1.1961502708063647
24,0.17552177091293775,0.17601532453799673,-0.28483002880049857,0.6162333783839806,0.18673084120709665,-0.1706661051168464,1.1941120744514668
25,0.1834534783626478,0.18397102941423893,-0.29257435262165477,0.6270319893688097,0.1909565264698196,-0.17485441661486795,1.188729108335945
26,0.1873516716867285,0.18788106753053824,-0.300225717394659,0.6240360529822536,0.19485280054290888,-0.17826756714936604,1.1877902931810276
27,0.19126058762896658,0.19180189430605465,-0.3077286569275981,0.6215234861079775,0.19907363286045054,-0.1811823065832457,1.1945572851138635
28,0.19535713489089823,0.19591095996914154,-0.31517312658039465,0.6198407110736529,0.20330002477529352,-0.1834169142287844,1.2081680374169579
29,0.1990678730997575,0.1996330691631918,-0.322158135959697,0.6179197446208886,0.2070127080667048,-0.18536210516620186,1.221467198863396
30,0.20318871787245163,0.20376657666547016,-0.3285906088031736,0.6183643489158939,0.2108112854488588,-0.18530233985825428,1.2614646825848852
31,0.20897759970988683,0.20957330890052983,-0.3347700046728871,0.6242423060395884,0.21594117486990405,-0.18701515878279854,1.298205537816298
32,0.21423413064886798,0.21484611123098696,-0.3407924943755548,0.6286351201525613,0.2210934874671298,-0.18881974641343122,1.334376556082542
33,0.21680180554720585,0.2174217558260072,-0.34683090827675733,0.6250936706431209,0.22341739501598867,-0.19160914236000243,1.3310383573534696
34,0.2194395180139297,0.220067670066586,-0.35288728303678873,0.6218402548415239,0.2262120321817807,-0.19438708080138517,1.3314536751003203
35,0.22375406825268884,0.2243956680941439,-0.3588627534102624,0.6235087540469452,0.22899334949779598,-0.1968410319543571,1.3345086052130037
